driver_id,age_first,grade_last,income_mean,income_max,income_min,income_last,quarterly_rating_mean,quarterly_rating_last,total_business_value_mean,total_business_value_sum,dateofjoining_first,lastworkingdate_last,target_max,tenure_months,income_increase,rating_increse,business_std,gender_first_1.0,city_first_C10,city_first_C11,city_first_C12,city_first_C13,city_first_C14,city_first_C15,city_first_C16,city_first_C17,city_first_C18,city_first_C19,city_first_C2,city_first_C20,city_first_C21,city_first_C22,city_first_C23,city_first_C24,city_first_C25,city_first_C26,city_first_C27,city_first_C28,city_first_C29,city_first_C3,city_first_C4,city_first_C5,city_first_C6,city_first_C7,city_first_C8,city_first_C9,education_level_first_1,education_level_first_2,joining_designation_first_2,joining_designation_first_3,joining_designation_first_4,joining_designation_first_5
1,-0.8759215602633919,1,-0.06522843260188145,-0.06868788383416168,-0.06445219085272888,-0.06861573392816432,0.6027732591932994,0.706496919761586,0.5779498556224728,-0.3146410279755519,2018-12-24,2019-03-11,1,-0.634499051583557,0,0,1.9761284969482378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,-0.36147428966962397,2,0.27511186882693367,0.27063560436159256,0.2761567021517695,0.27069993292099737,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2020-11-06,,0,-0.6732634563781493,0,0,-0.6828602175335401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False
4,1.6963147927054474,2,0.22516890009509075,0.22084184708455437,0.22617431916128702,0.2209073233812876,-0.7870791861459044,-0.528575889307677,-0.5385945221944092,-0.46429037604653295,2019-12-07,2020-04-27,1,-0.5199678555995343,0,0,-0.42302176456074075,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
5,-0.7044391367321359,1,-0.4546987598886313,-0.45699461521114954,-0.45422988241120515,-0.4569135149034383,-0.7870791861459044,-0.528575889307677,-0.605071918299236,-0.4894558561290035,2019-01-09,2019-03-07,1,-0.6697394195786409,0,0,-0.5675037545539795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,-0.36147428966962397,3,0.6890765183579631,0.6833634778426055,0.6904480465144952,0.6834182930972755,0.04683228105761798,0.706496919761586,-0.1314538432391439,-0.36401858421819067,2020-07-31,,0,-0.5005856532022381,0,1,0.25627019106814897,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
8,0.15297298092414383,3,0.40376891495850364,0.3989082699584921,0.40491528253772596,0.3989696418555647,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2020-09-19,2020-11-15,1,-0.6697394195786409,0,0,-0.6828602175335401,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,-0.8759215602633919,1,-0.6030078163633751,-0.6048605780805425,-0.6026559822187527,-0.6047760694884504,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2020-12-07,,0,-0.7278860267705294,0,0,,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
12,0.3244554044553998,1,-1.0998219483483607,-1.1001904098470314,-1.0998621926322152,-1.1000944839896258,1.2976994818629013,-0.528575889307677,0.27241636140975933,-0.2169335639382295,2019-06-29,2019-12-21,1,-0.4618212484076459,0,0,0.41617755198044665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
13,-0.7044391367321359,4,2.1205275379410544,2.110537841581296,2.1230287462537394,2.1105597607184405,-0.4245089830139382,-0.528575889307677,0.2935859355578609,0.6165672126688914,2015-05-28,2020-11-25,1,2.7679584783417948,0,0,0.11501760470097526,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
14,1.0103850985804235,3,-1.3960866078744099,-1.3955699381528588,-1.3963606598836125,-1.3954672038493903,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2020-10-16,,0,-0.6362610699833112,0,0,-0.6828602175335401,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
16,-0.5329567132008799,2,-0.2215962271310203,-0.22458850817500878,-0.22094338855258358,-0.22451276478709997,-0.7870791861459044,-0.528575889307677,-0.3085489145224177,-0.4646410533512878,2018-11-30,2019-02-22,1,-0.6221649227852777,0,0,-0.275775807521076,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17,1.5248323691741914,1,-0.28747994525993414,-0.290275389678476,-0.2868791011458316,-0.2901981322195267,-0.1914281381433885,-0.528575889307677,-0.3708945160711022,-0.3911259398757412,2018-03-06,2019-07-20,1,0.11259674991222199,0,0,-0.2669922578728526,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
18,-1.0474039837946478,1,-0.9755830700097704,-0.9763227121621133,-0.9755252667924798,-0.9762296414333059,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2019-01-09,2019-04-30,1,-0.5745904259919143,0,0,-0.6828602175335401,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,-1.2188864073259038,3,-0.6676897928525984,-0.6693493083119507,-0.6673890047754286,-0.669263313265994,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2019-10-25,2020-03-01,1,-0.5446361131960931,0,0,-0.6828602175335401,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
21,-0.018509442607112108,1,-1.2893083286536755,-1.2891106736560913,-1.2894981128105427,-1.2890103932199046,0.9998739578616432,-0.528575889307677,0.4121234594152013,0.2603568775649478,2018-05-12,2020-02-17,1,0.3680894178765804,0,0,0.7277585426006798,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
22,1.1818675221116794,1,-0.9899686243437125,-0.9906652876835249,-0.9899221739949754,-0.9905718863608798,1.818894148865103,-0.528575889307677,0.3540405587982601,0.323581803879094,2018-05-25,2020-04-26,1,0.4667624482628153,0,0,-0.1834150058337925,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
24,-0.5329567132008799,2,0.6035407898858755,0.5980832990666448,0.6048448144996561,0.5981400800144038,1.0197289927950604,0.706496919761586,0.2182243796720962,-0.05315192048562762,2018-05-25,2019-10-27,1,0.1460750995075517,0,0,-0.1334349332104357,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
25,-0.7044391367321359,3,1.5143549167442343,1.5061762440574427,1.516377742512214,1.506212093622883,3.035015038536906,3.1766425379001118,2.675435365221958,3.48095094363571,2017-10-30,,0,1.2702428385507287,0,1,0.7518672866604388,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
26,1.3533499456429354,4,2.3645989086060357,2.5809884145809137,2.204457936376946,2.580999489915274,2.1084467416441037,0.706496919761586,5.782459189675747,7.153943937771518,2018-05-07,,0,0.9372213609971857,1,0,6.999564603232823,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
29,-0.5329567132008799,1,-1.0222035765612927,-1.0228039335693415,-1.022182565564204,-1.0227097914565737,0.04683228105761798,-0.528575889307677,-0.12781849969043954,-0.3631232612244884,2018-05-20,2019-05-23,1,-0.12175169725508606,0,0,-0.27322909395025685,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
30,-0.36147428966962397,3,0.361389849488242,0.35665581774676614,0.3625027721303738,0.35671816355541464,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2019-10-03,2019-11-29,1,-0.6697394195786409,0,0,-0.6828602175335401,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
31,-0.18999186613836805,3,0.21053592836474186,0.20625259336007185,0.21152979930420296,0.20631840593653186,-0.09215296347630253,0.706496919761586,-0.341720868201232,-0.3984353699467253,2020-07-04,,0,-0.45301115640887485,0,1,-0.03839739315494233,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
34,-0.8759215602633919,2,0.2325914219872967,0.2282421931766832,0.23360269879893833,0.2283074988967434,-0.09215296347630253,-0.528575889307677,-0.4295731499512103,-0.45048136130523303,2020-07-31,2020-11-14,1,-0.5834005179906854,0,0,-0.4457177148217054,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
35,-0.18999186613836805,3,0.3123658596573388,0.30777829379542004,0.31344009328550526,0.30784176622238035,-0.7870791861459044,-0.528575889307677,-0.4718501485951853,-0.4697697089333276,2020-03-07,2020-05-05,1,-0.6662153827791326,0,0,-0.3953316457998398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
36,1.1818675221116794,2,-0.9319669175574744,-0.9328368689350326,-0.9318746931121857,-0.9327448005472466,0.6027732591932994,0.706496919761586,-0.014535181362579844,-0.03386357285753305,2019-07-01,2020-07-29,1,-0.07593921886147696,0,0,0.1533249697450117,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
37,-0.018509442607112108,2,-0.0656525767100075,-0.06911076075371189,-0.0648766696891661,-0.06903860110047608,-0.7870791861459044,-0.528575889307677,-0.4533026287761121,-0.43141218699261025,2020-05-16,2020-10-16,1,-0.5005856532022381,0,0,-0.4030125317622214,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
38,-1.9048161014509275,1,-1.6190096820369955,-1.6178269991197942,-1.6194596616677408,-1.6177191418302463,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2019-12-06,2020-03-15,1,-0.5939726283892105,0,0,-0.47194289340887685,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,-0.18999186613836805,2,0.48265971906994987,0.4775633769948327,0.48386834611504864,0.4776229359055521,1.158714237328981,0.706496919761586,0.3834700998290545,-0.23720161628648292,2020-08-08,,0,-0.5146818004002718,0,0,-0.11185364391979911,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
40,0.15297298092414383,2,-0.0017835430946924202,-0.0054325446181082,-0.0009572315689948833,-0.005361852736530165,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2019-11-08,2020-02-14,1,-0.5974966651887189,0,0,-0.6828602175335401,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
41,-0.018509442607112108,4,1.1713283692972876,1.1641745353712036,1.173080483543613,1.164218268015747,0.6027732591932994,0.706496919761586,1.9947141339094192,1.8815117566488013,2019-07-04,,0,0.1918875779011608,0,0,1.9138927655229703,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
42,1.8677972162367034,2,-0.4681299899792897,-0.4703857176635731,-0.4676717122317171,-0.4703043086933107,-0.7870791861459044,-0.528575889307677,-0.2517316540898518,-0.39364095367077995,2018-10-20,2019-05-16,1,-0.4036746412157574,0,0,-0.23404639566310037,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
43,-1.0474039837946478,1,-1.6374246053981352,-1.636186905376933,-1.6378891178163901,-1.636078624894782,-0.7870791861459044,-0.528575889307677,-0.29398751701552045,-0.463206564001525,2018-07-13,2019-02-20,1,-0.37900638361919864,0,0,-0.2604103665549192,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,-0.8759215602633919,1,0.10135416586462657,0.09739702631918652,0.10226187215798885,0.09746534799727956,-0.7870791861459044,-0.528575889307677,-0.5830091948039371,-0.48619565306136064,2020-09-25,2020-11-24,1,-0.6644533643793784,0,0,-0.538990504523721,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
45,0.3244554044553998,3,0.6472276330228591,0.6416396217803173,0.6485661346526896,0.6416953987625151,1.5955250058641595,1.9415697288308489,0.967075910312957,0.07020101319504851,2020-05-29,,0,-0.3895784940177238,0,1,0.38823861872039217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
46,0.4959378279866557,1,-0.6030431617057189,-0.6048958178238384,-0.6026913554551224,-0.6048113084194765,-0.7870791861459044,-0.528575889307677,-0.4434541256494712,-0.46557363580862027,2018-10-28,2019-02-27,1,-0.5552082235946182,0,0,-0.4901957036966987,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,-0.5329567132008799,1,-1.1039220080602459,-1.1042782200693502,-1.1039654880511083,-1.1041821999886394,0.6027732591932994,0.706496919761586,-0.05190196595038013,-0.40771407225722334,2020-10-09,,0,-0.6239269411850319,0,0,-0.25921094220148894,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
49,-2.0762985249821835,2,-0.21890998111288865,-0.22191028768452406,-0.2182550225884812,-0.2218346060291255,-0.46634400645224194,-0.528575889307677,-0.3864858061559729,-0.3055212263187708,2018-05-25,2020-01-21,1,0.29760868188641254,0,0,-0.4012424413477317,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,2.725209333892983,3,1.0651156155540547,1.0582791067671697,1.0667839082524595,1.058325280282677,-0.7870791861459044,-0.528575889307677,-0.5716218630637584,-0.4905572020392492,2018-11-20,2019-02-20,1,-0.6080687755872441,0,0,-0.5533749774283645,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
51,-0.018509442607112108,4,2.54891308714837,2.5376435303270166,2.5517523710553305,2.5376556047533185,0.04683228105761798,0.706496919761586,0.015386003491601751,-0.15306317221001883,2017-05-22,2019-12-23,1,0.894932919403085,0,1,-0.12546011046209365,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
52,0.4959378279866557,3,-0.37273291099327116,-0.3752736505080699,-0.3721993472697126,-0.3751944338541906,-0.09215296347630253,0.706496919761586,-0.007387176780453411,-0.29962655999915716,2020-06-28,,0,-0.4424390460103497,0,1,-0.2605315038281298,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
54,-0.018509442607112108,5,2.212070010981464,2.4135643941823233,2.0793781725734455,2.413579328610843,0.9116293581575671,-0.528575889307677,3.4862506507312734,3.2039355984777647,2019-07-11,,0,0.17955344910288143,1,0,5.200471052907042,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
55,-0.5329567132008799,1,-1.0337615035077277,-1.034327329627085,-1.0337496138571183,-1.0342329219020692,-0.7870791861459044,-0.528575889307677,-0.6943313939259314,-0.5026457062540955,2019-11-21,2020-03-15,1,-0.5675423523928976,0,0,-0.6828602175335401,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
56,0.15297298092414383,1,0.7419178051620008,0.7360468940699035,0.7433310348872987,0.7361004949811156,1.818894148865103,3.1766425379001118,0.39244035823975243,0.7820901881129165,2018-07-20,,0,0.8068319994153751,0,1,0.03806275822906529,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
